"niveaux";"trimestres";"label";"date";"first_date";"Etat";"Part des articles"
"CM1";"2ème trimestre";"CM1 - 2ème trimestre";2016-12-01;2011-09-01;"Conservé";0,407747603833866
"CM1";"2ème trimestre";"CM1 - 2ème trimestre";2016-12-01;2011-09-01;"Modifié";0,208067092651757
"CM1";"2ème trimestre";"CM1 - 2ème trimestre";2016-12-01;2011-09-01;"Supprimé";0,0640974440894569
"CM1";"2ème trimestre";"CM1 - 2ème trimestre";2016-12-01;2011-09-01;"Ajouté";0,32008785942492
"CM1";"3ème trimestre";"CM1 - 3ème trimestre";2017-03-01;2011-09-01;"Conservé";0,396778042959427
"CM1";"3ème trimestre";"CM1 - 3ème trimestre";2017-03-01;2011-09-01;"Modifié";0,211614956245028
"CM1";"3ème trimestre";"CM1 - 3ème trimestre";2017-03-01;2011-09-01;"Supprimé";0,0690135242641209
"CM1";"3ème trimestre";"CM1 - 3ème trimestre";2017-03-01;2011-09-01;"Ajouté";0,322593476531424
"CM1";"grandes vacances";"CM1 - grandes vacances";2017-06-01;2011-09-01;"Conservé";0,385705847607797
"CM1";"grandes vacances";"CM1 - grandes vacances";2017-06-01;2011-09-01;"Modifié";0,216971844851349
"CM1";"grandes vacances";"CM1 - grandes vacances";2017-06-01;2011-09-01;"Supprimé";0,0710769836582004
"CM1";"grandes vacances";"CM1 - grandes vacances";2017-06-01;2011-09-01;"Ajouté";0,326245323882654
"CM2";"1er trimestre";"CM2 - 1er trimestre";2017-09-01;2011-09-01;"Conservé";0,384494293585203
"CM2";"1er trimestre";"CM2 - 1er trimestre";2017-09-01;2011-09-01;"Modifié";0,217827626918536
"CM2";"1er trimestre";"CM2 - 1er trimestre";2017-09-01;2011-09-01;"Supprimé";0,0710350255804801
"CM2";"1er trimestre";"CM2 - 1er trimestre";2017-09-01;2011-09-01;"Ajouté";0,326643053915781
"CM2";"2ème trimestre";"CM2 - 2ème trimestre";2017-12-01;2011-09-01;"Conservé";0,383284169124877
"CM2";"2ème trimestre";"CM2 - 2ème trimestre";2017-12-01;2011-09-01;"Modifié";0,218682399213373
"CM2";"2ème trimestre";"CM2 - 2ème trimestre";2017-12-01;2011-09-01;"Supprimé";0,0709931170108161
"CM2";"2ème trimestre";"CM2 - 2ème trimestre";2017-12-01;2011-09-01;"Ajouté";0,327040314650934
"CM2";"3ème trimestre";"CM2 - 3ème trimestre";2018-03-01;2011-09-01;"Conservé";0,378447095638568
"CM2";"3ème trimestre";"CM2 - 3ème trimestre";2018-03-01;2011-09-01;"Modifié";0,220418540973988
"CM2";"3ème trimestre";"CM2 - 3ème trimestre";2018-03-01;2011-09-01;"Supprimé";0,0706043418736554
"CM2";"3ème trimestre";"CM2 - 3ème trimestre";2018-03-01;2011-09-01;"Ajouté";0,330530021513788
"CM2";"grandes vacances";"CM2 - grandes vacances";2018-06-01;2011-09-01;"Conservé";0,367083734359961
"CM2";"grandes vacances";"CM2 - grandes vacances";2018-06-01;2011-09-01;"Modifié";0,217901828681424
"CM2";"grandes vacances";"CM2 - grandes vacances";2018-06-01;2011-09-01;"Supprimé";0,0743022136669875
"CM2";"grandes vacances";"CM2 - grandes vacances";2018-06-01;2011-09-01;"Ajouté";0,340712223291627
"6ème";"1er trimestre";"6ème - 1er trimestre";2018-09-01;2011-09-01;"Conservé";0,363967068734444
"6ème";"1er trimestre";"6ème - 1er trimestre";2018-09-01;2011-09-01;"Modifié";0,217882443040398
"6ème";"1er trimestre";"6ème - 1er trimestre";2018-09-01;2011-09-01;"Supprimé";0,073903886655179
"6ème";"1er trimestre";"6ème - 1er trimestre";2018-09-01;2011-09-01;"Ajouté";0,344246601569979
"6ème";"2ème trimestre";"6ème - 2ème trimestre";2018-12-01;2011-09-01;"Conservé";0,362924780450554
"6ème";"2ème trimestre";"6ème - 2ème trimestre";2018-12-01;2011-09-01;"Modifié";0,217258495609011
"6ème";"2ème trimestre";"6ème - 2ème trimestre";2018-12-01;2011-09-01;"Supprimé";0,0738831615120275
"6ème";"2ème trimestre";"6ème - 2ème trimestre";2018-12-01;2011-09-01;"Ajouté";0,345933562428408
"6ème";"3ème trimestre";"6ème - 3ème trimestre";2019-03-01;2011-09-01;"Conservé";0,356271444910408
"6ème";"3ème trimestre";"6ème - 3ème trimestre";2019-03-01;2011-09-01;"Modifié";0,218452154022112
"6ème";"3ème trimestre";"6ème - 3ème trimestre";2019-03-01;2011-09-01;"Supprimé";0,0785360274494853
"6ème";"3ème trimestre";"6ème - 3ème trimestre";2019-03-01;2011-09-01;"Ajouté";0,346740373617995
"6ème";"grandes vacances";"6ème - grandes vacances";2019-06-01;2011-09-01;"Conservé";0,353064331937571
"6ème";"grandes vacances";"6ème - grandes vacances";2019-06-01;2011-09-01;"Modifié";0,220784164446136
"6ème";"grandes vacances";"6ème - grandes vacances";2019-06-01;2011-09-01;"Supprimé";0,0784164446136277
"6ème";"grandes vacances";"6ème - grandes vacances";2019-06-01;2011-09-01;"Ajouté";0,347735059002665
"5ème";"1er trimestre";"5ème - 1er trimestre";2019-09-01;2011-09-01;"Conservé";0,339662046705905
"5ème";"1er trimestre";"5ème - 1er trimestre";2019-09-01;2011-09-01;"Modifié";0,232200493639643
"5ème";"1er trimestre";"5ème - 1er trimestre";2019-09-01;2011-09-01;"Supprimé";0,0791722042908677
"5ème";"1er trimestre";"5ème - 1er trimestre";2019-09-01;2011-09-01;"Ajouté";0,348965255363585
"5ème";"2ème trimestre";"5ème - 2ème trimestre";2019-12-01;2011-09-01;"Conservé";0,324553151458137
"5ème";"2ème trimestre";"5ème - 2ème trimestre";2019-12-01;2011-09-01;"Modifié";0,240639698965193
"5ème";"2ème trimestre";"5ème - 2ème trimestre";2019-12-01;2011-09-01;"Supprimé";0,0818438381937912
"5ème";"2ème trimestre";"5ème - 2ème trimestre";2019-12-01;2011-09-01;"Ajouté";0,352963311382879
"5ème";"3ème trimestre";"5ème - 3ème trimestre";2020-03-01;2011-09-01;"Conservé";0,295318352059925
"5ème";"3ème trimestre";"5ème - 3ème trimestre";2020-03-01;2011-09-01;"Modifié";0,256179775280899
"5ème";"3ème trimestre";"5ème - 3ème trimestre";2020-03-01;2011-09-01;"Supprimé";0,0953183520599251
"5ème";"3ème trimestre";"5ème - 3ème trimestre";2020-03-01;2011-09-01;"Ajouté";0,353183520599251
"5ème";"grandes vacances";"5ème - grandes vacances";2020-06-01;2011-09-01;"Conservé";0,29255615370336
"5ème";"grandes vacances";"5ème - grandes vacances";2020-06-01;2011-09-01;"Modifié";0,25413031371821
"5ème";"grandes vacances";"5ème - grandes vacances";2020-06-01;2011-09-01;"Supprimé";0,0959717839242621
"5ème";"grandes vacances";"5ème - grandes vacances";2020-06-01;2011-09-01;"Ajouté";0,357341748654167
"4ème";"1er trimestre";"4ème - 1er trimestre";2020-09-01;2011-09-01;"Conservé";0,278527160043748
"4ème";"1er trimestre";"4ème - 1er trimestre";2020-09-01;2011-09-01;"Modifié";0,255012759752096
"4ème";"1er trimestre";"4ème - 1er trimestre";2020-09-01;2011-09-01;"Supprimé";0,0991615020051039
"4ème";"1er trimestre";"4ème - 1er trimestre";2020-09-01;2011-09-01;"Ajouté";0,367298578199052
"4ème";"2ème trimestre";"4ème - 2ème trimestre";2020-12-01;2011-09-01;"Conservé";0,277404108343937
"4ème";"2ème trimestre";"4ème - 2ème trimestre";2020-12-01;2011-09-01;"Modifié";0,255044537356844
"4ème";"2ème trimestre";"4ème - 2ème trimestre";2020-12-01;2011-09-01;"Supprimé";0,101436102526813
"4ème";"2ème trimestre";"4ème - 2ème trimestre";2020-12-01;2011-09-01;"Ajouté";0,366115251772405
